ind,oldind,pop,seq
NEW_02,NEW-02,01-Californie-NEW,beadxpress
NEW_05,NEW-05,01-Californie-NEW,beadxpress
NEW_06,NEW-06,01-Californie-NEW,beadxpress
NEW_07,NEW-07,01-Californie-NEW,beadxpress
Coos_Bay_07,Coos_Bay-7,02-Oregon-Coos,beadxpress
Coos_Bay_18,Coos_Bay-18,02-Oregon-Coos,beadxpress
Coos_Bay_32,Coos_Bay-32,02-Oregon-Coos,beadxpress
Coos_Bay_36,Coos_Bay-36,02-Oregon-Coos,beadxpress
mg_28,mg-28,03-Californie-Carlsbad,beadxpress
mg_30,mg-30,03-Californie-Carlsbad,beadxpress
mg_44,mg-44,03-Californie-Carlsbad,beadxpress
SAB_04,SAB-4,04-SantaBarbara,beadxpress
SAB_11,SAB-11,04-SantaBarbara,beadxpress
TBR_07,TBR-7,05-Californie-TBR,beadxpress
TBR_27,TBR-27,05-Californie-TBR,beadxpress
TBR_33,TBR-33,05-Californie-TBR,beadxpress
TBR_41,TBR-41,05-Californie-TBR,beadxpress
BRK_01,BRK-1,06-Californie-BRK,beadxpress
BRK_08,BRK-8,06-Californie-BRK,beadxpress
BRK_17,BRK-17,06-Californie-BRK,beadxpress
BRK_28,BRK-28,06-Californie-BRK,beadxpress
LAM_21,LAM-21,07-Californie-LAM,beadxpress
LAM_23,LAM-23,07-Californie-LAM,beadxpress
LAM_24,LAM-24,07-Californie-LAM,beadxpress
LAM_26,LAM-26,07-Californie-LAM,beadxpress
CBD_01,CBD-01,08-StLaurent-CBD,beadxpress
CBD_02,CBD-02,08-StLaurent-CBD,beadxpress
CBD_03,CBD-03,08-StLaurent-CBD,beadxpress
CBD_04,CBD-04,08-StLaurent-CBD,beadxpress
CBD_05,CBD-05,08-StLaurent-CBD,beadxpress
CBD_06,CBD-06,08-StLaurent-CBD,beadxpress
CBD_07,CBD-07,08-StLaurent-CBD,beadxpress
CBD_08,CBD-08,08-StLaurent-CBD,beadxpress
CBD_09,CBD-09,08-StLaurent-CBD,beadxpress
CBD_10,CBD-10,08-StLaurent-CBD,beadxpress
CBD_11,CBD-11,08-StLaurent-CBD,beadxpress
CBD_12,CBD-12,08-StLaurent-CBD,beadxpress
CBD_13,CBD-13,08-StLaurent-CBD,beadxpress
CBD_14,CBD-14,08-StLaurent-CBD,beadxpress
CBD_15,CBD-15,08-StLaurent-CBD,beadxpress
CBD_16,CBD-16,08-StLaurent-CBD,beadxpress
CBD_17,CBD-17,08-StLaurent-CBD,beadxpress
CBD_18,CBD-18,08-StLaurent-CBD,beadxpress
CBD_19,CBD-19,08-StLaurent-CBD,beadxpress
stl_01,stl1,08-StLaurent-CBD,beadxpress
stl_10,stl10,08-StLaurent-CBD,beadxpress
stl_15,stl15,08-StLaurent-CBD,beadxpress
stl_18,stl18,08-StLaurent-CBD,beadxpress
stl_23,stl23,08-StLaurent-CBD,beadxpress
stl_25,stl25,08-StLaurent-CBD,beadxpress
stl_26,stl26,08-StLaurent-CBD,beadxpress
TAD_09,TAD-09,09-StLaurent-TAD,beadxpress
TAD_13,TAD-13,09-StLaurent-TAD,beadxpress
TAD_25,TAD-25,09-StLaurent-TAD,beadxpress
SHM_01,SHM-1,10-LgIs-SHM,beadxpress
SHM_02,SHM-2,10-LgIs-SHM,beadxpress
SHM_03,SHM-3,10-LgIs-SHM,beadxpress
SHM_05,SHM-5,10-LgIs-SHM,beadxpress
SHM_06,SHM-6,10-LgIs-SHM,beadxpress
SHM_07,SHM-7,10-LgIs-SHM,beadxpress
qnt_01,qnt1,11-LgIs-QNT,beadxpress
qnt_02,qnt2,11-LgIs-QNT,beadxpress
QNT_03,QNT-3,11-LgIs-QNT,beadxpress
qnt_08,qnt8,11-LgIs-QNT,beadxpress
qnt_38,qnt38,11-LgIs-QNT,beadxpress
qnt_47,qnt47,11-LgIs-QNT,beadxpress
BYY_01,BYY-1,12-LgIs-BYY,beadxpress
BYY_02,BYY-2,12-LgIs-BYY,beadxpress
BYY_03,BYY-3,12-LgIs-BYY,beadxpress
ost_02,ost2,13-LgIs-OST,beadxpress
ost_11,ost11,13-LgIs-OST,beadxpress
ost_20,ost20,13-LgIs-OST,beadxpress
ost_27,ost27,13-LgIs-OST,beadxpress
ost_37,ost37,13-LgIs-OST,beadxpress
ost_40,ost40,13-LgIs-OST,beadxpress
BFM_01,BFM-1,14-LgIs-BFM,beadxpress
BFM_02,BFM-2,14-LgIs-BFM,beadxpress
BFM_03,BFM-3,14-LgIs-BFM,beadxpress
myc_01,myc1,15-LgIs-MYC,beadxpress
myc_11,myc11,15-LgIs-MYC,beadxpress
myc_14,myc14,15-LgIs-MYC,beadxpress
myc_42,myc42,15-LgIs-MYC,beadxpress
myc_48,myc48,15-LgIs-MYC,beadxpress
Myc_49,Myc-49,15-LgIs-MYC,beadxpress
MYC_50,MYC-50,15-LgIs-MYC,beadxpress
Myc_51,Myc-51,15-LgIs-MYC,beadxpress
SPM_01,SPM-01,16-LgIs-SPM,beadxpress
SPM_02,SPM-02,16-LgIs-SPM,beadxpress
SPM_03,SPM-03,16-LgIs-SPM,beadxpress
SPM_04,SPM-04,16-LgIs-SPM,beadxpress
SPM_05,SPM-05,16-LgIs-SPM,beadxpress
Bost_01,Bost-01,17-Boston,beadxpress
Bost_02,Bost-02,17-Boston,beadxpress
Bost_04,Bost-04,17-Boston,beadxpress
Bost_05,Bost-05,17-Boston,beadxpress
Bost_06,Bost-06,17-Boston,beadxpress
NOVI_14,NOVI-14,18-NovyMost,beadxpress
NOVI_15,NOVI-15,18-NovyMost,beadxpress
NOVI_16,NOVI-16,18-NovyMost,beadxpress
NOVI_23,NOVI-23,18-NovyMost,beadxpress
NOVI_29,NOVI-29,18-NovyMost,beadxpress
NOVI_30,NOVI-30,18-NovyMost,beadxpress
NOVI_41,NOVI-41,18-NovyMost,beadxpress
NOVI_42,NOVI-42,18-NovyMost,beadxpress
NOVI_44,NOVI-44,18-NovyMost,beadxpress
NOVI_45,NOVI-45,18-NovyMost,beadxpress
NOVI_50,NOVI-50,18-NovyMost,beadxpress
NOVI_51,NOVI-51,18-NovyMost,beadxpress
NOVI_52,NOVI-52,18-NovyMost,beadxpress
NOVI_53,NOVI-53,18-NovyMost,beadxpress
NOVI_54,NOVI-54,18-NovyMost,beadxpress
NOVI_55,NOVI-55,18-NovyMost,beadxpress
NOVI_56,NOVI-56,18-NovyMost,beadxpress
NOVI_58,NOVI-58,18-NovyMost,beadxpress
NOVI_59,NOVI-59,18-NovyMost,beadxpress
NOVI_60,NOVI-60,18-NovyMost,beadxpress
RET_01,RET-01,19-Retinskoye,beadxpress
RET_02,RET-02,19-Retinskoye,beadxpress
RET_04,RET-04,19-Retinskoye,beadxpress
RET_05,RET-05,19-Retinskoye,beadxpress
RET_06,RET-06,19-Retinskoye,beadxpress
RET_07,RET-07,19-Retinskoye,beadxpress
RET_08,RET-08,19-Retinskoye,beadxpress
RET_09,RET-09,19-Retinskoye,beadxpress
RET_10,RET-10,19-Retinskoye,beadxpress
RET_11,RET-11,19-Retinskoye,beadxpress
RET_12,RET-12,19-Retinskoye,beadxpress
RET_13,RET-13,19-Retinskoye,beadxpress
RET_14,RET-14,19-Retinskoye,beadxpress
RET_15,RET-15,19-Retinskoye,beadxpress
RET_16,RET-16,19-Retinskoye,beadxpress
RET_17,RET-17,19-Retinskoye,beadxpress
RET_18,RET-18,19-Retinskoye,beadxpress
RET_19,RET-19,19-Retinskoye,beadxpress
RET_20,RET-20,19-Retinskoye,beadxpress
RET_21,RET-21,19-Retinskoye,beadxpress
ORE_01,ORE-01,20-Oresund-Helsinborg,beadxpress
ORE_02,ORE-02,20-Oresund-Helsinborg,beadxpress
ORE_03,ORE-03,20-Oresund-Helsinborg,beadxpress
ORE_04,ORE-04,20-Oresund-Helsinborg,beadxpress
ORE_05,ORE-05,20-Oresund-Helsinborg,beadxpress
ORE_06,ORE-06,20-Oresund-Helsinborg,beadxpress
ORE_09,ORE-09,20-Oresund-Helsinborg,beadxpress
ORE_10,ORE-10,20-Oresund-Helsinborg,beadxpress
ORE_11,ORE-11,20-Oresund-Helsinborg,beadxpress
ORE_16,ORE-16,20-Oresund-Helsinborg,beadxpress
ORE_18,ORE-18,20-Oresund-Helsinborg,beadxpress
ORE_20,ORE-20,20-Oresund-Helsinborg,beadxpress
ORE_22,ORE-22,20-Oresund-Helsinborg,beadxpress
ORE_24,ORE-24,20-Oresund-Helsinborg,beadxpress
ORE_32,ORE-32,20-Oresund-Helsinborg,beadxpress
ORE_33,ORE-33,20-Oresund-Helsinborg,beadxpress
ORE_36,ORE-36,20-Oresund-Helsinborg,beadxpress
ORE_37,ORE-37,20-Oresund-Helsinborg,beadxpress
